dat,wind_force_QC,wind_direction,lon,station_id,sunshine_total_QC,imei,sunshine_total_offset,tt_logger,water_sea_level_QC,wind_force_offset,wl_radar,minimum_temperature_offset,rr10_offset,tt_logger_QC,wind_max_1h_direction,rr,wl_radar_QC,pressure,ph_sea_QC,battery_level,sea_surface_salinity_QC,sea_temperature_offset,ssr_sea_max,minimum_temperature,avg_relative_humidity_QC,maximum_temperature,ssr_sea_QC,ssr_sea_offset,tt_logger_offset,water_sea_level_offset,wl_radar_offset,pressure_QC,process,ssr_sea,ph_sea,temperature_QC,sunshine_total,wind_max_1h_direction_offset,temperature_offset,sea_temperature_QC,temperature,rr_offset,avg_relative_humidity_offset,wind_max_1h_offset,lat,dew_point_temperature_QC,station_name,sea_temperature,ssr_sea_max_QC,sea_surface_salinity,ssr_sea_max_offset,wind_max_1h_direction_QC,ph_sea_offset,rr_QC,minimum_temperature_QC,water_sea_level,pressure_offset,wind_force,wind_max_1h,comm_type,avg_relative_humidity,maximum_temperature_offset,rr10_QC,wind_direction_QC,sea_surface_salinity_offset,wind_direction_offset,maximum_temperature_QC,wind_max_1h_QC,rr10,dew_point_temperature,battery_level_QC,bmkg_id,dew_point_temperature_offset
2025-01-01,1.0,208.6,111.728834,wigos_id:0-22000-0-5301768,1.0,300234068448940,0.0,27.0,1.0,0.0602871228440486,1.735,0.05,0.0,1.0,208.05,0.0,1.0,100967.0,1.0,13.642,1.0,-0.03,232.6,300.2,1.0,300.7,1.0,0.0,0.0,0.03,3.38,1.0,MAWS,2243.6,6.99,1.0,0 days 10:12:00,0.15,0.05,1.0,300.4,0.0,-1.3,0.1085168211192875,-2.739063,1.0,PANGKALAN BUN,301.96,1.0,9.04,0.0,1.0,0.0,1.0,1.0,2.206,-0.13,1.057034220532319,1.902661596958175,gsm,81.2,0.05,1.0,1.0,0.0,-2.0,1.0,1.0,0.0,297.25,1.0,PBU,0.0
2025-01-01,1.0,211.77,136.0768311,wigos_id:0-22000-0-5301795,1.0,300534061806700,0.0,27.0,1.0,-0.35,2.564187494,0.08,0.0,1.0,209.45,2.2,1.0,101096.0,1.0,12.94,1.0,-0.18,19.34971272229822,298.83,1.0,299.03,1.0,-36.265,0.0,-0.01,4.849187494,1.0,MAWS,296.33500000000004,8.120000000000001,1.0,0 days 08:12:00,-0.35,0.08,1.0,298.92999999999995,0.0,0.54,-0.35,-1.1856791,1.0,BIAK,302.98999999999995,1.0,33.75,-9.599416304707866,1.0,0.0,1.0,1.0,2.587,-0.34,4.8500000000000005,7.75,gsm,93.44,0.08,1.0,1.0,0.0,-5.33,1.0,1.0,0.0,297.75,1.0,BIK,0.0
2025-01-01,1.0,204.8,117.20644,wigos_id:0-22000-0-5301785,1.0,300534061608660,0.0,27.0,1.0,0.0,2.914,0.0,-0.0,1.0,203.7,0.0,1.0,100950.0,1.0,13.876,1.0,0.05,357.1,300.65,1.0,301.04999999999995,1.0,0.0,0.0,0.06,6.17,1.0,MAWS,3433.5,10.18,1.0,0 days 07:24:00,0.0,0.0,1.0,300.95,-0.0,-1.7,0.0,-0.570467,1.0,SAMARINDA,300.77,1.0,0.04,0.0,1.0,0.0,1.0,1.0,3.123,0.0,1.0,1.9,gsm,85.8,0.0,1.0,1.0,0.0,-3.0,1.0,1.0,0.0,298.45,1.0,SMR,0.0
2025-01-01,1.0,317.3,104.48835,wigos_id:0-22000-0-5301777,1.0,300534061801600,0.0,27.0,1.0,-0.1677293163253101,4.775,0.1,-0.0,1.0,303.17,0.1999,1.0,100902.0,1.0,13.174,1.0,0.11,73.7,300.15,1.0,300.15,1.0,0.0,0.0,0.07,6.71,1.0,MAWS,656.6,6.66,1.0,0 days 09:00:00,-0.33,0.1,1.0,300.15,-0.0001,0.11,-0.2715617502409783,-2.21751,1.0,PALEMBANG,302.09,1.0,14.67,0.0,1.0,0.0,1.0,1.0,5.24,-0.08,1.9161803713527847,3.102387267904509,gsm,96.61,0.1,1.0,1.0,0.0,10.5,1.0,1.0,0.0,299.54999999999995,1.0,PLG,0.0
2025-01-01,1.0,153.3,125.014493,wigos_id:0-22000-0-5301772,1.0,300534061904200,0.0,26.0,1.0,-0.1904526315789474,3.388,0.038,0.0,1.0,163.778,2.4000000000000004,1.0,100949.7,1.0,13.408,1.0,0.157,202.2,300.088,1.0,300.188,1.0,0.0,0.0,0.06,6.17,1.0,MAWS,1659.1,8.15,1.0,0 days 08:06:00,-0.222,0.038,1.0,300.088,0.0,-0.334,-0.222,1.698828,1.0,LIKUPANG,302.657,1.0,33.55,0.0,1.0,0.0,1.0,1.0,3.463,-0.003,0.9780000000000002,1.4780000000000002,gsm,91.966,0.038,1.0,1.0,0.0,0.0,1.0,1.0,0.0,298.65,1.0,ARM,0.0
2025-01-01,1.0,48.6,96.039472,wigos_id:0-22000-0-5301776,1.0,300534061809840,0.0,26.0,1.0,-0.2571428571428572,3.253,0.04,0.0,1.0,42.60000000000001,0.0,1.0,100880.0,4.0,12.94,1.0,-0.5,17.6,296.59,1.0,296.59,1.0,0.0,0.0,0.22,7.0,1.0,MAWS,47.0,1310.71,1.0,0 days 07:54:00,-0.3,0.04,1.0,296.59,0.0,0.23,-0.3,4.207534,1.0,MEULABOH,302.39,1.0,18.77,0.0,1.0,0.0,1.0,1.0,3.3280000000000003,-0.1,1.8,2.2,gsm,93.93,0.04,1.0,1.0,0.0,-5.0,1.0,1.0,0.0,295.45,1.0,MBO,0.0
2025-01-01,1.0,94.1,120.466757,wigos_id:0-22000-0-5301804,1.0,300534063743840,0.0,29.0,1.0,0.0,1.312415276,0.0,-0.0,1.0,99.3,0.0,1.0,100841.0,9.0,13.174,9.0,0.04,155.60000000000002,301.65,1.0,301.85,1.0,0.0,0.0,0.0,-2.694584724,1.0,MAWS,1244.6,,1.0,0 days 08:42:00,0.0,0.0,9.0,301.75,-0.0,-0.6,0.0,-5.606003,1.0,BIRA,,1.0,,0.0,1.0,0.0,1.0,1.0,1.37,-0.29,3.5,4.2,gsm,78.30000000000001,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,297.85,1.0,BLK,0.0
2025-01-01,1.0,259.1,99.469821,wigos_id:0-22000-0-5301778,1.0,300534061802860,0.0,26.0,1.0,-0.0906462585034013,3.567,0.2,0.0,1.0,249.1,0.0,1.0,100920.0,1.0,12.94,1.0,0.2,16.5,298.85,1.0,298.95,1.0,0.0,0.0,0.02,1.63,1.0,MAWS,110.1,7.9,1.0,0 days 08:48:00,-0.1,0.2,1.0,298.85,0.0,-2.7,-0.0976190476190476,3.380154,1.0,KUALA TANJUNG,302.27,1.0,29.02,0.0,1.0,0.0,1.0,1.0,3.581,-0.1,3.807142857142857,4.1000000000000005,gsm,86.5,0.2,1.0,1.0,0.0,5.0,1.0,1.0,0.0,296.65,1.0,TBT,0.0
2025-01-01,1.0,105.1,95.294757,wigos_id:0-22000-0-5301775,1.0,300534061802870,0.0,27.0,1.0,0.14,0.9350000000000004,-0.2,0.0,1.0,92.84,0.0,1.0,100920.0,1.0,12.94,1.0,-0.3,0.0,298.85,1.0,298.95,1.0,0.0,0.0,-0.04,-4.34,1.0,MAWS,0.0,8.040000000000001,1.0,0 days 08:48:00,0.14,-0.2,1.0,298.95,0.0,3.9,0.14,5.566502,1.0,ULEE LHEUE,301.26,1.0,32.15,0.0,1.0,0.0,1.0,1.0,0.921,-0.2,4.14,4.64,gsm,90.6,-0.2,1.0,1.0,0.0,14.0,1.0,1.0,0.0,296.65,1.0,BNA,0.0
2025-01-01,1.0,238.2,123.043262,wigos_id:0-22000-0-5301786,1.0,300534063747750,0.0,29.0,9.0,-0.0282548476454293,2.605874463,-0.61,-0.0,1.0,248.4,0.0,1.0,100859.0,9.0,13.642,9.0,0.1,382.9,302.74,1.0,303.64,1.0,0.0,0.0,,6.365874463,1.0,MAWS,3575.7000000000003,,1.0,0 days 10:30:00,-0.4,-0.61,9.0,303.24,-0.0,-0.61,-0.0470914127423822,-10.722342,1.0,ROTE,,1.0,,0.0,1.0,0.0,1.0,1.0,,-0.41,0.2684210526315789,0.4473684210526316,gsm,72.39,-0.61,1.0,1.0,0.0,1.0,1.0,1.0,0.0,298.04999999999995,1.0,BAA,0.0
2025-01-01,1.0,140.168,111.3344,wigos_id:0-22000-0-5301766,1.0,300534061900180,0.0,26.0,1.0,0.113031821029992,0.8379999999999996,0.025,-0.0,1.0,133.161,5.799990000000001,1.0,100823.1,3.0,12.94,1.0,-0.199,68.9255162116041,298.275,1.0,298.375,1.0,20.714,0.0,0.04,4.02,1.0,MAWS,581.8140000000001,12.54,1.0,0 days 09:18:00,0.161,0.025,1.0,298.275,-1e-05,2.286,0.161,-6.69941,1.0,REMBANG,302.471,1.0,31.96,3.3838716884887354,1.0,0.0,1.0,1.0,1.611,-0.069,1.706008230452675,2.5590123456790126,gsm,96.386,0.025,1.0,1.0,0.0,-4.332,1.0,1.0,0.0,297.25,1.0,RBG,0.0
2025-01-01,1.0,3.3,108.3834,wigos_id:0-22000-0-5301783,1.0,300534061807890,0.0,27.0,1.0,-0.6,2.956,-0.015,0.0,1.0,6.200000000000001,0.4004,1.0,100955.3,1.0,13.174,1.0,0.0,84.2,299.835,1.0,300.035,1.0,0.0,0.0,0.06,6.13,1.0,MAWS,645.5,7.85,1.0,0 days 08:54:00,-0.6,-0.015,1.0,299.935,0.0004,2.019,-0.6,3.89271,1.0,NATUNA,301.17999999999995,1.0,30.92,0.0,1.0,0.0,1.0,1.0,3.014,-0.247,7.4,8.100000000000001,gsm,88.21900000000001,-0.015,1.0,1.0,0.0,-4.8,1.0,1.0,0.0,297.45,1.0,RAN,0.0
2025-01-01,1.0,289.8,98.700572,wigos_id:0-22000-0-5301800,1.0,300534061904180,0.0,25.0,1.0,-0.0285544318857822,1.842935074,-0.1,0.0,1.0,305.8,0.0,1.0,100980.0,1.0,12.94,1.0,0.2,14.5,298.35,1.0,298.45,1.0,0.0,0.0,-0.05,4.930935074,1.0,MAWS,58.0,7.73,1.0,0 days 07:12:00,-0.1,-0.1,1.0,298.45,0.0,3.5,-0.0547293277810827,3.785223,1.0,BELAWAN,302.4,1.0,27.48,0.0,1.0,0.0,1.0,1.0,1.847,-0.3,1.170731707317073,2.2439024390243905,gsm,90.6,-0.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,296.25,1.0,BLW,0.0
2025-01-01,1.0,301.5,117.59412,wigos_id:0-22000-0-5301769,1.0,300534061808840,0.0,27.0,1.0,-0.23,4.502,0.0,0.0,1.0,306.37,12.8,1.0,100886.0,1.0,13.876,1.0,-0.1,380.9,299.54999999999995,1.0,299.85,1.0,0.0,0.0,0.08,7.8,1.0,MAWS,3452.7000000000003,7.48,1.0,0 days 10:12:00,-0.23,0.0,1.0,299.75,0.0,0.0,-0.23,3.280657,1.0,TARAKAN,302.25,1.0,30.24,0.0,1.0,0.0,1.0,1.0,4.664000000000001,-0.54,3.1700000000000004,3.77,gsm,88.5,0.0,1.0,1.0,0.0,-3.0,1.0,1.0,0.0,297.35,1.0,TAR,0.0
2025-01-01,1.0,109.3,98.78572,wigos_id:0-22000-0-5301782,1.0,300534061808890,0.0,25.0,1.0,-0.0263703703703703,1.994,0.0,-0.0,1.0,111.87,4.1992,1.0,100968.0,1.0,12.94,1.0,0.138,20.700000000000003,298.65,1.0,298.75,1.0,0.0,0.0,0.05,4.57,1.0,MAWS,117.2,7.86,1.0,0 days 09:18:00,-0.03,0.0,1.0,298.75,-0.0008,2.1,-0.03,1.728523,1.0,SIBOLGA,304.718,1.0,31.57,0.0,1.0,0.0,1.0,1.0,2.065,-0.02,2.373333333333333,3.0700000000000003,gsm,89.8,0.0,1.0,1.0,0.0,-2.5,1.0,1.0,0.0,296.35,1.0,SBG,0.0
2025-01-01,1.0,247.7,119.9199,wigos_id:0-22000-0-5301781,1.0,300534061806860,0.0,27.0,1.0,-0.1560923701994168,1.3470000000000004,0.01,0.0,1.0,260.92,0.0,1.0,100882.0,4.0,13.876,1.0,0.06,273.1,299.76,1.0,299.96,1.0,0.0,0.0,0.05,5.48,1.0,MAWS,2504.9,1310.71,1.0,0 days 08:06:00,-0.18,0.01,1.0,299.86,0.0,-1.3,-0.18,-8.46055,1.0,LABUAN BAJO,302.38,1.0,33.97,0.0,1.0,0.0,1.0,1.0,1.398,-0.08,2.33271375464684,2.72,gsm,87.4,0.01,1.0,1.0,0.0,3.0,1.0,1.0,0.0,297.85,1.0,LBJ,0.0
2025-01-01,1.0,13.3,105.31998,wigos_id:0-22000-0-5301774,1.0,300534061809870,0.0,27.0,1.0,-0.1277937648192839,2.5969999999999995,0.1,-0.0,1.0,24.770000000000003,0.0,1.0,100913.0,1.0,12.94,1.0,0.41,64.5,300.04999999999995,1.0,300.15,1.0,0.0,0.0,0.05,4.52,1.0,MAWS,500.0,7.9,1.0,0 days 09:36:00,-0.33,0.1,1.0,300.04999999999995,-0.0,0.84,-0.1677293163253101,-5.4699861,1.0,PANJANG,303.29999999999995,1.0,32.4,0.0,1.0,0.0,1.0,1.0,2.695,-0.07,1.459946949602122,1.9161803713527847,gsm,84.44000000000001,0.1,1.0,1.0,0.0,10.5,1.0,1.0,0.0,296.95,1.0,BDL,0.0
2025-01-01,1.0,97.2,112.683796,wigos_id:0-22000-0-5301773,1.0,300534061806880,0.0,28.0,1.0,-0.056,3.055,0.1,0.0,1.0,109.8,0.0,1.0,100850.0,1.0,13.174,1.0,0.32,115.7,300.15,1.0,300.45,1.0,0.0,0.0,0.05,5.48,1.0,MAWS,1129.2,11.44,1.0,0 days 08:48:00,-0.1,0.1,1.0,300.25,0.0,-0.4,-0.0808888888888889,-8.434172,1.0,MALANG,302.67999999999995,1.0,32.55,0.0,1.0,0.0,1.0,1.0,3.102,-0.1,0.84,1.2133333333333334,gsm,86.8,0.1,1.0,1.0,0.0,3.0,1.0,1.0,0.0,298.04999999999995,1.0,MLG,0.0
2025-01-01,1.0,332.90000000000003,110.799452,wigos_id:0-22000-0-5301767,1.0,300534061906180,0.0,25.0,1.0,0.4355998576005697,1.0690000000000008,0.62,0.0,1.0,342.16,29.4001,1.0,100822.0,1.0,13.642,3.0,0.2,177.3,298.47,1.0,298.67,1.0,0.0,0.0,-0.05,-5.02,1.0,MAWS,1696.2,6.9,1.0,0 days 09:36:00,0.46,0.62,1.0,298.57,0.0001,2.52,0.46,-8.191283,1.0,SADENG,302.54999999999995,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.919,-0.08,1.0037735849056606,2.66,gsm,96.82,0.62,1.0,1.0,0.0,2.0,1.0,1.0,0.0,297.04999999999995,1.0,WNO,0.0
